time,vehicle_ID,x,y,width,height,v_x,v_y,acc_x,acc_y,road-ID,heading
0.0,1,28.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,1,0.0
0.0,2,39.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,1,0.0
0.0,3,54.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,1,0.0
0.0,4,68.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,1,0.0
0.0,5,82.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,1,0.0
0.0,6,97.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,1,0.0
0.0,7,108.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,1,0.0
0.0,8,119.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,1,0.0
0.0,9,131.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,1,0.0
0.0,10,142.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,1,0.0
0.0,11,153.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,1,0.0
0.0,12,166.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,1,0.0
0.0,13,180.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,1,0.0
0.0,0,90.0,3.5,5.0,2.0,7.0,0.0,0.0,0.0,2,0.0
0.1,1,28.678560542291603,0.0,5.0,2.0,6.785605422916029,0.0,-2.1439457708397107,0.0,1,0.0
0.1,2,39.671736860876834,0.0,5.0,2.0,6.717368608768308,0.0,-2.826313912316915,0.0,1,0.0
0.1,3,54.40753406236665,0.0,5.0,2.0,4.075340623666503,0.0,0.7534062366650288,0.0,1,0.0
0.1,4,68.66881660459059,0.0,5.0,2.0,6.6881660459059225,0.0,-3.118339540940777,0.0,1,0.0
0.1,5,82.40702865200304,0.0,5.0,2.0,4.070286520030339,0.0,0.7028652003033927,0.0,1,0.0
0.1,6,97.59,0.0,5.0,2.0,5.9,0.0,-1.0,0.0,1,0.0
0.1,7,108.57910929349731,0.0,5.0,2.0,5.7910929349731735,0.0,-2.0890706502682637,0.0,1,0.0
0.1,8,119.40735689078643,0.0,5.0,2.0,4.073568907864318,0.0,0.7356890786431755,0.0,1,0.0
0.1,9,131.65477290985413,0.0,5.0,2.0,6.547729098541212,0.0,-4.5227090145878766,0.0,1,0.0
0.1,10,142.40467437928555,0.0,5.0,2.0,4.04674379285547,0.0,0.46743792855470534,0.0,1,0.0
0.1,11,153.5034408128353,0.0,5.0,2.0,5.034408128352975,0.0,0.34408128352975753,0.0,1,0.0
0.1,12,166.6794400859679,0.0,5.0,2.0,6.794400859679231,0.0,-2.0559914032076887,0.0,1,0.0
0.1,13,180.6,0.0,5.0,2.0,6.0,0.0,0.0,0.0,1,0.0
0.1,0,90.7,3.5,5.0,2.0,7.0,0.0,0.0,0.0,2,0.0
0.2,1,29.338105875465086,0.0,5.0,2.0,6.595453331734845,0.0,-1.9015209118118346,0.0,1,0.0
0.2,2,40.32057096823281,0.0,5.0,2.0,6.488341073559724,0.0,-2.2902753520858403,0.0,1,0.0
0.2,3,54.822242428715434,0.0,5.0,2.0,4.147083663487832,0.0,0.7174303982132907,0.0,1,0.0
0.2,4,69.31270255696639,0.0,5.0,2.0,6.438859523757978,0.0,-2.4930652214794398,0.0,1,0.0
0.2,5,82.82082657518389,0.0,5.0,2.0,4.1379792318084725,0.0,0.6769271177813313,0.0,1,0.0
0.2,6,98.17042468467491,0.0,5.0,2.0,5.80424684674914,0.0,-0.9575315325086023,0.0,1,0.0
0.2,7,109.14099195335837,0.0,5.0,2.0,5.6188265986106165,0.0,-1.7226633636255655,0.0,1,0.0
0.2,8,119.82152468255312,0.0,5.0,2.0,4.141677917666829,0.0,0.6810900980251154,0.0,1,0.0
0.2,9,132.2757242660078,0.0,5.0,2.0,6.209513561536745,0.0,-3.382155370044667,0.0,1,0.0
0.2,10,142.81391429964475,0.0,5.0,2.0,4.092399203591892,0.0,0.4565541073642176,0.0,1,0.0
0.2,11,154.0098964722656,0.0,5.0,2.0,5.064556594303272,0.0,0.3014846595029683,0.0,1,0.0
0.2,12,167.34174304529694,0.0,5.0,2.0,6.623029593290314,0.0,-1.7137126638891749,0.0,1,0.0
0.2,13,181.2,0.0,5.0,2.0,6.0,0.0,0.0,0.0,1,0.0
0.2,0,91.4,3.5,5.0,2.0,7.0,0.0,0.0,0.0,2,0.0
0.30000000000000004,1,29.98074759126751,0.0,5.0,2.0,6.426417158024232,0.0,-1.6903617371061352,0.0,1,0.0
0.30000000000000004,2,40.95043582836005,0.0,5.0,2.0,6.298648601272396,0.0,-1.8969247228732784,0.0,1,0.0
0.30000000000000004,3,55.243771252077416,0.0,5.0,2.0,4.215288233619788,0.0,0.6820457013195558,0.0,1,0.0
0.30000000000000004,4,69.93614376712658,0.0,5.0,2.0,6.23441210160197,0.0,-2.044474221560076,0.0,1,0.0
0.30000000000000004,5,83.24112818743282,0.0,5.0,2.0,4.2030161224892915,0.0,0.6503689068081916,0.0,1,0.0
0.30000000000000004,6,98.7417700077738,0.0,5.0,2.0,5.713453230988749,0.0,-0.9079361576039077,0.0,1,0.0
0.30000000000000004,7,109.68844897262902,0.0,5.0,2.0,5.474570192706506,0.0,-1.4425640590411044,0.0,1,0.0
0.30000000000000004,8,120.24198810226622,0.0,5.0,2.0,4.204634197131,0.0,0.6295627946417082,0.0,1,0.0
0.30000000000000004,9,132.87014735119234,0.0,5.0,2.0,5.944230851845342,0.0,-2.652827096914037,0.0,1,0.0
0.30000000000000004,10,143.22760445868124,0.0,5.0,2.0,4.13690159036498,0.0,0.4450238677308808,0.0,1,0.0
0.30000000000000004,11,154.51898945854606,0.0,5.0,2.0,5.090929862804608,0.0,0.2637326850133634,0.0,1,0.0
0.30000000000000004,12,167.98954172821436,0.0,5.0,2.0,6.477986829174359,0.0,-1.4504276411595427,0.0,1,0.0
0.30000000000000004,13,181.79999999999998,0.0,5.0,2.0,6.0,0.0,0.0,0.0,1,0.0
0.30000000000000004,0,92.1,3.5,5.0,2.0,7.0,0.0,0.0,0.0,2,0.0
0.4,1,30.60831230867942,0.0,5.0,2.0,6.275647174119118,0.0,-1.5076998390511314,0.0,1,0.0
0.4,2,41.56433256179329,0.0,5.0,2.0,6.138967334332451,0.0,-1.5968126693994522,0.0,1,0.0
