time,vehicle-ID,x,y,width,height,v_x,v_y,acc_x,acc_y,road_ID,heading
2.9000000000000017,1,62.114651487347786,3.65265928699401,5.0,2.0,2.0688602286717908,-0.2695767129153596,0.0,-0.0,2,-0.07944670206142679
2.9000000000000017,2,71.13095048322079,4.0,5.0,2.0,2.08635400014478,0.0,0.0,0.0,2,0.0
2.9000000000000017,3,80.13156653387479,4.0,5.0,2.0,2.08666750563143,0.0,0.0,0.0,2,0.0
2.9000000000000017,4,89.15585308775866,4.0,5.0,2.0,2.098757088911473,0.0,0.0,0.0,2,0.0
2.9000000000000017,5,97.21896775957647,4.0,5.0,2.0,1.5814272998970862,0.0,0.0,0.0,2,0.0
2.9000000000000017,6,111.6343736076737,4.0,5.0,2.0,1.371445751713973,0.0,-1.5238286130155256,-0.0,2,0.0
2.9000000000000017,7,116.0099594692601,3.7060465281633683,5.0,2.0,1.3687388290430342,-0.08612472214299494,-1.520820921158927,0.09569413571443881,2,-0.0628398391708431
2.9000000000000017,8,125.2653384892284,4.0,5.0,2.0,2.14967992929227,0.0,0.0,0.0,2,0.0
2.9000000000000017,9,135.4632506303026,4.0,5.0,2.0,2.6789916346814424,0.0,0.0,0.0,2,0.0
2.9000000000000017,10,147.7603154278443,4.0,5.0,2.0,1.2693645014477908,0.0,-1.4104050016086565,-0.0,2,0.0
2.9000000000000017,11,152.0708139524265,4.0,5.0,2.0,1.2693645014477908,0.0,-1.4104050016086565,-0.0,2,0.0
2.9000000000000017,12,162.4632506303026,4.0,5.0,2.0,2.678991634681438,0.0,0.0,0.0,2,0.0
2.9000000000000017,13,177.5,4.0,5.0,2.0,5.0,0.0,0.0,0.0,2,0.0
2.9000000000000017,0,102.8160938847475,5.220733347589731,5.0,2.0,3.2220387503657224,-2.123776646504708,1.8075943131995085,-1.1914588514157658,2,-0.3492511574464204
