Road-ID,x,y
1,0,7
1,1,7
1,2,7
1,3,7
1,4,7
1,5,7
1,6,7
1,7,7
1,8,7
1,9,7
1,10,7
1,11,7
1,12,7
1,13,7
1,14,7
1,15,7
1,16,7
1,17,7
1,18,7
1,19,7
1,20,7
1,21,7
1,22,7
1,23,7
1,24,7
1,25,7
1,26,7
1,27,7
1,28,7
1,29,7
1,30,7
1,31,7
1,32,7
1,33,7
1,34,7
1,35,7
1,36,7
1,37,7
1,38,7
1,39,7
1,40,7
1,41,7
1,42,7
1,43,7
1,44,7
1,45,7
1,46,7
1,47,7
1,48,7
1,49,7
1,50,7
1,51,7
1,52,7
1,53,7
1,54,7
1,55,7
1,56,7
1,57,7
1,58,7
1,59,7
1,60,7
1,61,7
1,62,7
1,63,7
1,64,7
1,65,7
1,66,7
1,67,7
1,68,7
1,69,7
1,70,7
1,71,7
1,72,7
1,73,7
1,74,7
1,75,7
1,76,7
1,77,7
1,78,7
1,79,7
1,80,7
1,81,7
1,82,7
1,83,7
1,84,7
1,85,7
1,86,7
1,87,7
1,88,7
1,89,7
1,90,7
1,91,7
1,92,7
1,93,7
1,94,7
1,95,7
1,96,7
1,97,7
1,98,7
1,99,7
1,100,7
1,101,7
1,102,7
1,103,7
1,104,7
1,105,7
1,106,7
1,107,7
1,108,7
1,109,7
1,110,7
1,111,7
1,112,7
1,113,7
1,114,7
1,115,7.0
1,116,6.825
1,117,6.65
1,118,6.475
1,119,6.3
1,120,6.125
1,121,5.95
1,122,5.775
1,123,5.6
1,124,5.425
1,125,5.25
1,126,5.075
1,127,4.9
1,128,4.725
1,129,4.550000000000001
1,130,4.375
1,131,4.2
1,132,4.025
1,133,3.85
1,134,3.6750000000000003
2,135,3.5
2,136,3.5
2,137,3.5
2,138,3.5
2,139,3.5
2,140,3.5
2,141,3.5
2,142,3.5
2,143,3.5
2,144,3.5
2,145,3.5
2,146,3.5
2,147,3.5
2,148,3.5
2,149,3.5
2,150,3.5
2,151,3.5
2,152,3.5
2,153,3.5
2,154,3.5
2,155,3.5
2,156,3.5
2,157,3.5
2,158,3.5
2,159,3.5
2,160,3.5
2,161,3.5
2,162,3.5
2,163,3.5
2,164,3.5
2,165,3.5
2,166,3.5
2,167,3.5
2,168,3.5
2,169,3.5
2,170,3.5
2,171,3.5
2,172,3.5
2,173,3.5
2,174,3.5
2,175,3.5
2,176,3.5
2,177,3.5
2,178,3.5
2,179,3.5
2,180,3.5
2,181,3.5
2,182,3.5
2,183,3.5
2,184,3.5
2,185,3.5
2,186,3.5
2,187,3.5
2,188,3.5
2,189,3.5
2,190,3.5
2,191,3.5
2,192,3.5
2,193,3.5
2,194,3.5
2,195,3.5
2,196,3.5
2,197,3.5
2,198,3.5
2,199,3.5
2,200,3.5
2,201,3.5
2,202,3.5
2,203,3.5
2,204,3.5
2,205,3.5
2,206,3.5
2,207,3.5
2,208,3.5
2,209,3.5
2,210,3.5
2,211,3.5
2,212,3.5
2,213,3.5
2,214,3.5
2,215,3.5
2,216,3.5
2,217,3.5
2,218,3.5
2,219,3.5
2,220,3.5
2,221,3.5
2,222,3.5
2,223,3.5
2,224,3.5
2,225,3.5
2,226,3.5
2,227,3.5
2,228,3.5
2,229,3.5
2,230,3.5
2,231,3.5
2,232,3.5
2,233,3.5
2,234,3.5
2,235,3.5
2,236,3.5
2,237,3.5
2,238,3.5
2,239,3.5
2,240,3.5
2,241,3.5
2,242,3.5
2,243,3.5
2,244,3.5
2,245,3.5
2,246,3.5
2,247,3.5
2,248,3.5
2,249,3.5
2,250,3.5
2,251,3.5
2,252,3.5
2,253,3.5
2,254,3.5
2,255,3.5
2,256,3.5
2,257,3.5
2,258,3.5
2,259,3.5
2,260,3.5
2,261,3.5
2,262,3.5
2,263,3.5
2,264,3.5
2,265,3.5
2,266,3.5
2,267,3.5
2,268,3.5
2,269,3.5
2,270,3.5
2,271,3.5
2,272,3.5
2,273,3.5
2,274,3.5
2,275,3.5
2,276,3.5
2,277,3.5
2,278,3.5
2,279,3.5
2,280,3.5
2,281,3.5
2,282,3.5
2,283,3.5
2,284,3.5
2,285,3.5
2,286,3.5
2,287,3.5
2,288,3.5
2,289,3.5
2,0,3.5
2,1,3.5
2,2,3.5
2,3,3.5
2,4,3.5
2,5,3.5
2,6,3.5
2,7,3.5
2,8,3.5
2,9,3.5
2,10,3.5
2,11,3.5
2,12,3.5
2,13,3.5
2,14,3.5
2,15,3.5
2,16,3.5
2,17,3.5
2,18,3.5
2,19,3.5
2,20,3.5
2,21,3.5
2,22,3.5
2,23,3.5
2,24,3.5
2,25,3.5
2,26,3.5
2,27,3.5
2,28,3.5
2,29,3.5
2,30,3.5
2,31,3.5
2,32,3.5
2,33,3.5
2,34,3.5
2,35,3.5
2,36,3.5
2,37,3.5
2,38,3.5
2,39,3.5
2,40,3.5
2,41,3.5
2,42,3.5
2,43,3.5
2,44,3.5
2,45,3.5
2,46,3.5
2,47,3.5
2,48,3.5
2,49,3.5
2,50,3.5
2,51,3.5
2,52,3.5
2,53,3.5
2,54,3.5
2,55,3.5
2,56,3.5
2,57,3.5
2,58,3.5
2,59,3.5
2,60,3.5
2,61,3.5
2,62,3.5
2,63,3.5
2,64,3.5
2,65,3.5
2,66,3.5
2,67,3.5
2,68,3.5
2,69,3.5
2,70,3.5
2,71,3.5
2,72,3.5
2,73,3.5
2,74,3.5
2,75,3.5
2,76,3.5
2,77,3.5
2,78,3.5
2,79,3.5
2,80,3.5
2,81,3.5
2,82,3.5
2,83,3.5
2,84,3.5
2,85,3.5
2,86,3.5
2,87,3.5
2,88,3.5
2,89,3.5
2,90,3.5
2,91,3.5
2,92,3.5
2,93,3.5
2,94,3.5
2,95,3.5
2,96,3.5
2,97,3.5
2,98,3.5
2,99,3.5
2,100,3.5
2,101,3.5
2,102,3.5
2,103,3.5
2,104,3.5
2,105,3.5
2,106,3.5
2,107,3.5
2,108,3.5
2,109,3.5
2,110,3.5
2,111,3.5
2,112,3.5
2,113,3.5
2,114,3.5
2,115,3.5
2,116,3.5
2,117,3.5
2,118,3.5
2,119,3.5
2,120,3.5
2,121,3.5
2,122,3.5
2,123,3.5
2,124,3.5
2,125,3.5
2,126,3.5
2,127,3.5
2,128,3.5
2,129,3.5
2,130,3.5
2,131,3.5
2,132,3.5
2,133,3.5
2,134,3.5
2,135,3.5
2,136,3.5
2,137,3.5
2,138,3.5
2,139,3.5
2,140,3.5
2,141,3.5
2,142,3.5
2,143,3.5
2,144,3.5
2,145,3.5
2,146,3.5
2,147,3.5
2,148,3.5
2,149,3.5
2,150,3.5
