time,vehicle-ID,x,y,heading,v_x,v_y,acc_x,acc_y,label,length,width
0.0,1,14.45,3.28,-0.0245,3.5996149538536213,0.06059854778285617,-0.01999927750435004,-0.00016999795292406175,1,5.0,2.0
0.0,2,27.21,3.41,-0.0221,2.7098113319891928,0.03197725790237983,-0.2999791142423461,-0.003539917848971937,1,5.0,2.0
0.0,3,34.72,3.07,-0.0309,2.67,-0.02,-0.06,-0.01,2,5.0,2.0
0.0,4,44.3,3.06,-0.028200000000000003,2.5298605350313412,0.026564511870815818,-0.25998566763167935,-0.002729949836526527,1,5.0,2.0
0.0,5,61.559999999999995,2.68,-0.019,0.05,0.0,-0.0,0.0,1,5.0,2.0
0.0,6,68.17,3.2199999999999998,-0.0108,0.06988145391848509,0.010797332922469618,0.07988080412552238,0.010911330453245664,1,5.0,2.0
0.0,7,73.96000000000001,2.9699999999999998,-0.0228,0.30009967125052467,-0.00633934660095484,0.22998288361230185,0.002805930393011351,2,5.0,2.0
0.0,8,84.32000000000001,3.25,-0.0199,1.109923330177525,0.016437795704812234,0.009999831800471521,5.799967481388029e-05,2,5.0,2.0
0.0,9,92.55000000000001,3.1,-0.0164,1.14,0.0,0.01,0.0,2,5.0,2.0
0.0,10,100.66000000000001,2.99,-0.0224,0.919940219047432,0.010487772831396147,-0.08999415186333573,-0.0010259777769844056,1,5.0,2.0
0.0,11,117.70000000000002,2.83,-0.024,2.6896648497415785,0.04362334311597181,-0.23010702822878398,0.007124293629379223,1,5.0,2.0
0.0,12,129.19,2.77,-0.0112,2.5297218023612933,0.042515910644477475,-0.019999207905228508,-0.0001779976501126401,1,5.0,2.0
0.0,13,139.29,3.09,0.0073,2.4,0.01,0.12,0.0,1,11.0,2.5
0.0,0,93.0,7.0,0.0,6.0,0.0,0.0,0.0,2,5.0,2.0
0.1,1,14.88,3.29,-0.0183,3.5999748480026215,0.03287999009280052,-0.08999997120000153,-7.199999232000025e-05,2,5.0,2.0
0.1,2,27.450000000000003,3.41,-0.0249,2.6797629708940374,0.03564294916476749,-0.28997435132808613,-0.003856886290217377,2,5.0,2.0
0.1,3,35.0,3.07,-0.0285,2.67,-0.02,-0.07,-0.01,2,5.0,2.0
